filepath,xmin,xmax,ymin,ymax
./Kaggle data set/google_images\5345a45f-8d1b-4984-b5ee-a69fc4cbda6a___new__bd7f7862-d727-11e7-ad30-e18a56154311.jpg.xml,362,434,174,196
./Kaggle data set/google_images\55aa4ee8-13fd-45bd-b83b-651ac665d71a___200560387_4_1000x700_2012-toyota-innova-diesel-130000-kms-cars.jpg.xml,156,324,240,280
./Kaggle data set/google_images\56b46df3-223c-42c8-a6bf-e95e5bac29cc___9214a754343030395508e104d7948167_large.jpg.xml,131,355,438,489
./Kaggle data set/google_images\5747d3e8-4dd0-435f-942d-34b84f03344c___Maruti-Suzuki-Swift-Number-Plates-Design.jpg.xml,142,337,251,303
./Kaggle data set/google_images\57e92915-935a-4a91-91f8-f3ad70040a6e___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_847071203_1_1080x720_nissan-terrano-xv-d-thp-premium-110-ps-2015-diesel-ghaziabad.xml,179,344,586,620
./Kaggle data set/google_images\581e2224-3640-4bad-9d90-c2076a9f64f4___617609.jpg.xml,170,285,161,184
./Kaggle data set/google_images\59a29a85-30f5-469e-a6c2-e1af171f151c___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_10187746494_417a40a489 - Copy.xml,103,166,181,198
./Kaggle data set/google_images\59a40238-6b01-4bb9-9faf-3b595e67bcb3___3d-font-number-plate-500x500.jpg.xml,174,289,228,252
./Kaggle data set/google_images\59e121dc-ebc6-4e4c-ba88-7fe04b569218___Autopsyches-Skoda-Laura-6.jpg.xml,289,447,217,257
./Kaggle data set/google_images\5a4780bf-d2af-4f19-a36b-65004cd06b3d___maruti-suzuki-wagon-r-rear-left-rim.jpg.xml,102,168,138,159
./Kaggle data set/google_images\5ac9f7b9-f7cc-4161-bbd1-7f377bb890bf___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano-John-Abraham.xml,252,401,310,344
./Kaggle data set/google_images\5b49ae32-c799-45e3-b139-9c56acf6370d___2014-Volkswagen-Polo-Review.jpg.xml,401,584,426,470
./Kaggle data set/google_images\5c85a40f-ce81-44b4-82b2-dfdac281217d___new_Skoda-Octavia-1.8-TSI-5.jpg.xml,179,300,210,239
./Kaggle data set/google_images\5cbd7465-ad12-4e6b-8eaf-d7056c3852f8___New-2018-Maruti-Suzuki-Swift-radiator-grille-600x398.jpg.xml,341,490,242,288
./Kaggle data set/google_images\60842fa7-0a2e-4407-b41c-933d93bdbb35___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan-terrano-red-rear.xml,146,237,215,244
./Kaggle data set/google_images\6254bb73-d8a1-4f04-89a9-92caef98e233___1658240d1500548920-close-look-2017-skoda-octavia-facelift-hands-free-parking-front-bumper.jpg.xml,1206,2492,975,1287
./Kaggle data set/google_images\62b58053-425c-4924-b129-c4a6580f3562___product-500x5001.xml,231,434,82,156
./Kaggle data set/google_images\6578ae52-8431-4854-ba24-756888891756___1496414894_2017-maruti-suzuki-ciaz.jpg.xml,295,426,170,221
./Kaggle data set/google_images\658af519-5290-4ae5-8dd6-694bab9aa458___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_848765390_1_1080x720_nissan-terrano-xl-d-plus-2014-diesel-coimbatore.xml,225,343,462,488
./Kaggle data set/google_images\65e2825e-943f-48a3-a4e2-7e81d649ace2___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan-terrano-L.xml,134,252,259,299
./Kaggle data set/google_images\6767eddd-bf2f-4270-aa1f-6146738895ab___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano-20300.xml,353,424,214,247
./Kaggle data set/google_images\684f079f-6085-420c-8e4e-e1aed270fc05___Toyota-Fortuner-Number-Plates-Design.jpg.xml,541,769,390,458
./Kaggle data set/google_images\69b56ab9-accd-4c67-aa7a-a884c018e5ab___speedex-number-plates-nandanam-chennai-car-number-plate-dealers-3zh7n2s.jpg.xml,341,602,948,1014
./Kaggle data set/google_images\6bf2730d-82bf-43ac-8802-b61315d85b96___2017-Skoda-Octavia-rear-high-revealed-for-India-images.jpg.xml,108,261,235,276
./Kaggle data set/google_images\6cd15e75-3e26-41f2-a6aa-b1b58dec1c48___volkswagen-polo-exquisite-limited-edition-m1_720x540.jpg.xml,18,89,246,312
./Kaggle data set/google_images\6d69b523-72b7-4be9-a79f-428ef8148dcd___81auoS-H8eL._SX425_.jpg.xml,80,369,7,278
./Kaggle data set/google_images\6e52e238-927b-46e0-a8f1-5f77ef1ecf9f___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan-terrano-rear.xml,162,281,235,266
./Kaggle data set/google_images\6e772b68-a549-44e5-950e-4c376454c4e9___1557295d1474517501-toyota-innova-crysta-official-review-20160921_173216.jpg.xml,198,440,233,293
./Kaggle data set/google_images\6ec9d264-9eab-4027-bdcc-6f71c842ee75___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_846635891_1_1080x720_nissan-terrano-xl-d-thp-110-ps-2013-diesel-dehra-dun.xml,142,356,448,500
./Kaggle data set/google_images\6ed8b283-5cf5-4727-9969-c79f70f47e80___2-cars-same-numbers.jpg.xml,72,161,145,175
./Kaggle data set/google_images\6f680368-4a15-464a-b314-7f9cd0f3db11___91852d1232463201-high-security-registration-plates-hsrp-india-num1.jpg.xml,206,351,167,288
./Kaggle data set/google_images\6f78077e-a3a1-4fb9-89ba-5870d75ccdb8___Innova_Crysta_Car_Euro_number_Plates.jpg.xml,166,281,101,134
./Kaggle data set/google_images\7070d6ac-5425-4d33-a78e-a48c62d0fac5___Honda-Jazz-Number-Plate-Designs.jpg.xml,76,546,134,295
./Kaggle data set/google_images\7073bd18-c0bf-47da-9e43-8c9d27831f11___new_Skoda-Laura-rear.jpg.xml,198,300,162,186
./Kaggle data set/google_images\712ecd95-753f-4d67-ae42-e8b5254e6e94___28iam53.jpg.xml,36,186,195,278
./Kaggle data set/google_images\72894c2b-5999-4d87-baa4-e3507548e011___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_847602356_1_1080x720_nissan-terrano-xl-d-2014-diesel-bilaspur.xml,696,802,366,442
./Kaggle data set/google_images\730a2f83-cd53-4943-8922-af9d4fcad415___new_2.xml,144,369,82,230
./Kaggle data set/google_images\7506a48d-2c70-4b12-b300-463754bc7837___165979d1427773878-new-volkswagen-vento-2016-launched-india-vw-vento-facelift-rear-india-spotted-test.jpg.xml,335,535,272,319
./Kaggle data set/google_images\760ba77a-8992-4574-8cba-6c081d9e3e19___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_04f4c639c871fba0b4cc6475604e40b7_large.xml,95,193,262,285
./Kaggle data set/google_images\7616cb19-df24-4d29-b679-5252391a547f___Skoda-Laura-rear.jpg.xml,316,479,260,296
./Kaggle data set/google_images\77d1f81a-bee6-487c-aff2-0efa31a9925c____bd7f7862-d727-11e7-ad30-e18a56154311.jpg.xml,582,699,280,315
./Kaggle data set/google_images\78a85f8b-de01-4036-ae91-2a1fa48bcf9f___new_995920d1349421647-cappuccino-beige-czech-tank-here-my-skoda-laura-2-0-elegance-mt-20121005_121433.jpg.xml,148,336,221,266
./Kaggle data set/google_images\79094948-25d3-418e-86fc-3c2d62917f62___513039-volkswagen-vento-test-drive-review-06032011612.jpg.xml,1049,2247,934,1311
./Kaggle data set/google_images\7c6227ed-9e92-4062-9591-b172cb32ec10___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Honda-Jazz-Front-Number-Plates-Designs.xml,54,599,79,189
./Kaggle data set/google_images\7c8229d7-7e37-41a6-9262-d5da278c8d8e___139379d1243147524-ok-have-dealers-name-number-plate-1.jpg.xml,259,729,200,347
./Kaggle data set/google_images\7f369852-27b9-4141-8c48-9e88b20743a6___new_Mahindra-Scorpio-Taillamps-Night.JPG.xml,148,380,214,270
./Kaggle data set/google_images\7f768bfc-4c86-4fff-932d-c9871a82dce5___1431955d1446017445-number-plates-merchandise-canvas-ink-gurgaon-edit-closed-thumb_img_4422_1024.jpg.xml,254,472,516,570
./Kaggle data set/google_images\7f7e27cc-930a-46cb-b3af-6e43da8b566d___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano-Petrol-Review-Images-Black-Front-Grille-720x480.xml,419,590,322,414
./Kaggle data set/google_images\8187c22d-5fa4-4976-9c00-80b2ab66b97d___1290890d1411349145-take-look-number-plate-img_20140903_093600_hdr.jpg.xml,94,241,241,321
./Kaggle data set/google_images\84969111-2ec3-4914-b3bb-da5aaac701e7___1.jpg.xml,47,106,229,250
./Kaggle data set/google_images\85bd88a0-ac9a-412e-ba44-2a29d209e212___4336_1466054535_9.jpg.xml,165,285,189,228
./Kaggle data set/google_images\85d7e25d-5aa1-4e5f-9c4e-4e671f14ddbe___77cca4b6f3864b3928824a030ba101d2.jpg.xml,177,312,521,552
./Kaggle data set/google_images\8625b831-13a1-4b7d-9466-826cd6d36c67___1304650d1414861991-number-plates-merchandise-canvas-ink-gurgaon-edit-closed-10471269_1537317779842156_5063668061078329632_n.jpg.xml,285,498,352,398
./Kaggle data set/google_images\868b996f-1f40-47ca-8222-b0f2750d7010___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan-terrano-left-side-view.xml,84,132,130,148
./Kaggle data set/google_images\88294212-f11c-46a7-a91a-04c9da19efa6___DSC_8221-L.jpg.xml,232,316,194,234
./Kaggle data set/google_images\8906af57-0d29-417d-ac46-408425527b57___VW-Vento-TDI-CNG-Spy-Pic-2.jpg.xml,246,373,239,296
./Kaggle data set/google_images\89d26be7-258a-4470-b0fe-d1df57b20d55___new_Skoda-Octavia-5.jpg.xml,185,249,209,230
./Kaggle data set/google_images\8b5431f9-7d6f-43ed-853d-350ca058ff2a___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_2014-Nissan-Terrano1.xml,606,793,392,469
./Kaggle data set/google_images\8b9e7112-9149-48fb-b8e8-c3e89cce5af0___1074650_10201043987997310_227646612_o.jpg.xml,231,431,252,308
./Kaggle data set/google_images\8c4371ee-a997-4b21-82c4-cb5e767c4d06___kia-sorento-spied-in-India.jpg.xml,231,359,188,215
./Kaggle data set/google_images\8da5183c-275f-4294-a5a8-276e10ac5ad0___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan-terrano-amt_827x510_81478504265.xml,352,551,292,447
./Kaggle data set/google_images\8dbb3ea7-8512-49e4-9ede-d4647e3b7dd2___158712081_5_1000x700_toyota-innova-v-2010-7seat-life-tax-kerala_rev001.jpg.xml,463,558,289,345
./Kaggle data set/google_images\8e0b8c6f-850f-4918-983a-7fa110368d32___banner_4.xml,328,578,202,252
./Kaggle data set/google_images\8edca6de-d964-4027-823d-f70d3f872412___12042943_1003224833031653_9073848483429898813_n.jpg.xml,208,407,156,207
./Kaggle data set/google_images\931dfd5a-3d1f-4a08-9234-0453545e27ea___1297127d1412798792-maruti-ciaz-official-review-imag0627.jpg.xml,155,354,117,178
./Kaggle data set/google_images\936623d4-b47c-4da7-ab2e-6ac3cc63f861___new_216279d1481352986-silver-venom-mahindra-scorpio-s4-2016-ownership-review-wp_20161122_11_19_00_pro.jpg.xml,179,375,117,184
./Kaggle data set/google_images\93b6319a-5886-48d8-8a69-07d586751553___2014-VW-Polo-facelift-first-drive-rear-number-plate.jpg.xml,363,1045,291,556
./Kaggle data set/google_images\93b6ca4e-17cc-4b12-b7f5-66fb37c6107c___number-plate-factory-fitted1.jpg.xml,218,428,144,194
./Kaggle data set/google_images\94c5a151-24b5-493c-a900-017a4353b00c___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Tata-Tiago-Front-Number-Plates-Design.xml,260,696,234,338
./Kaggle data set/google_images\967ba4a0-eb8e-4734-aa09-c7143d0404b6___39720161008_150234.jpg.xml,161,317,208,250
./Kaggle data set/google_images\97846647-16f1-4ee2-b260-60774a21cc74___new_Maruti-Suzuki-Swift-Dzire-1.jpg.xml,109,253,145,183
./Kaggle data set/google_images\9cad4b47-6c7b-4e30-ab55-b7fa040beb56___135717d1400912281-skoda-rapid-1-6tdi-cr-mt-elegance-ultima-candy-white-white-monster-_mg_2993comp.jpg.xml,66,175,231,260
./Kaggle data set/google_images\9cd75347-8952-40b1-97c5-d628f1b59590___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Maruti-Swift-Number-Plates-Design.xml,329,856,219,410
./Kaggle data set/google_images\9ea92991-8fdf-4b46-aea1-bf08ecff247c___new_1107433d1373284570-my-modded-skoda-rapid-now-166-bhp-351-nm-119-whp-per-tonne-hdr_00005_normal.jpg.xml,65,245,230,275
